personen_id;schreibweisen;quelle;anzahl_nennungen;erste_nennung;letzte_nennung;nennungsspanne_jahre;nennung_in_urkunden;nennung_in_buergerbuch;nennung_in_verlassenschaften;soziale_gruppe;beruf;unsicherheit_anmerkung
wilhelm_pittersdorfer;Wilhelm Pittersdorfer;Urkunden;1;1681;1681;0;StaAKr-0854;;;buerger;;
wilhelm_preiss;Wilhalm Preiß;Bürgerbuch;2;1579;1579;0;;BB-1774|BB-1786;;buerger;Barbier;
wilhelm_rainpacher;Wilhelmb Rainpacher;Bürgerbuch;1;1622;1622;0;;BB-2729;;buerger;;
wilhelm_smidhueber;Wilhalbm Schmidthueber|Wilhalbm Smidhueber;Bürgerbuch;2;1569;1569;0;;BB-1306|BB-1311;;buerger;Zimmermann;
wilhelm_topler;Wilhelm Topler;Urkunden;2;1432;1433;1;StaAKr-0239|StaAKr-0249;;;buerger;;
wilhelm_von_bibra;Wilhelm von Bibra;Urkunden;1;1490;1490;0;StaAKr-0525;;;buerger;;
wilhelm_von_liechtenstein;Wilhelm von Liechtenstein;Urkunden;1;1451;1451;0;StaAKr-0304;;;adel;;
wilhelm_von_neydorf;Wilhelm von Neydorf;Urkunden;1;1531;1531;0;StaAKr-0716c;;;buerger;;
wilhelm_von_topel;Wilhelm von Topel|Wilhelm von Toppl;Urkunden;2;1439;1446;7;StaAKr-0272|StaAKr-0286;;;buerger;;
wilhelm_wittenpeck;Wilhalm Pittinpeckh|Wilhalm Wittenpeckh;Bürgerbuch;2;1552;1552;0;;BB-0445|BB-0469;;buerger;Hafner;
wilibald_spiznagl;Wilibaldt Spiznagl;Bürgerbuch;1;1608;1608;0;;BB-2464;;buerger;;
wintperger_1519;Wintperger;Urkunden;1;1519;1519;0;StaAKr-0612;;;buerger;;
wipold_harber;Wilpold Harber|Wiltpold Harber|Wiltpolt Harber|Wipold Harber|Wipolt Harber;Urkunden;6;1436;1471;35;StaAKr-0263|StaAKr-0301|StaAKr-0311|StaAKr-0358|StaAKr-0396|StaAKr-0420;;;buerger;;
witigo_pausack;Witigo Pausack;Urkunden;1;1414;1414;0;StaAKr-0169;;;buerger;;
woelfl_edmair;Wölfl Edmair;Bürgerbuch;1;1558;1558;0;;BB-0743;;buerger;;
wolf_aichinger;Wolf Aichinger;Bürgerbuch;1;1592;1592;0;;BB-2204;;buerger;;
wolf_aigner;Wolff Aigner;Bürgerbuch;1;1596;1596;0;;BB-2266;;buerger;Gürtler;
wolf_andre_abl;Wolf Andre Abl|Wolf Andree Abl.;Urkunden;2;1701;1711;10;StaAKr-0859|StAK-Stein-2055;;;buerger;;
wolf_bauer;Wolf Paur;Bürgerbuch;1;1555;1555;0;;BB-0610;;buerger;Kammmacher;
wolf_beck;Wolf Perkh;Bürgerbuch;1;1621;1621;0;;BB-2651;;buerger;Hafner;
wolf_behaimb;Wolff Behamb;Bürgerbuch;2;1568;1568;0;;BB-1245|BB-1258;;buerger;Hauer;
wolf_bottnnauer;Wolff Bottenmauer|Wolff Bottnnauer;Bürgerbuch;2;1575;1575;0;;BB-1550|BB-1563;;buerger;Tuchmacher;
wolf_breuer;Wolff Breuer|Wolff Preuer;Bürgerbuch;2;1569;1600;31;;BB-1347|BB-2336;;buerger;Kupferschmied;
wolf_brunner;Wolff Prunner;Bürgerbuch;1;1547;1547;0;;BB-0233;;buerger;Glaser;
wolf_christoff_notthelffer;Wolf Christoff Notthelffer;Bürgerbuch;1;1613;1613;0;;BB-2544;;buerger;Sieber;
wolf_christoff_woeckl;Wolff Christoff Wöckhl;Bürgerbuch;1;1608;1608;0;;BB-2458;;buerger;;
wolf_christoffen;Wolff Christoff|Wolff Christoffen;Bürgerbuch;2;1568;1568;0;;BB-1251|BB-1255;;buerger;Haubenmacher;
wolf_denschern;Wolff Denschern;Bürgerbuch;1;1566;1566;0;;BB-1127;;buerger;Binder;
wolf_edlinger;Wolf Edlinger;Bürgerbuch;1;1560;1560;0;;BB-0859;;buerger;;
wolf_eglsperger;Wolf Englsperger;Bürgerbuch;1;1602;1602;0;;BB-2391;;buerger;;
wolf_enzenkhircher;Wolff Enzenkhircher;Bürgerbuch;1;1539;1539;0;;BB-0047;;buerger;;
wolf_ernreich;Wolff Ernreich;Bürgerbuch;1;1569;1569;0;;BB-1349;;buerger;;
wolf_ettemberger;Wolf Ettemberger;Bürgerbuch;1;1589;1589;0;;BB-2161;;buerger;;
wolf_faistenaurer;Wolff Faistenaurer;Bürgerbuch;1;1596;1596;0;;BB-2280;;buerger;;
wolf_feringer;Wolff Feringer;Bürgerbuch;2;1582;1582;0;;BB-1918|BB-1949;;buerger;Schlosser;
wolf_fetaller;Wolff Fetaller;Bürgerbuch;2;1581;1581;0;;BB-1855|BB-1876;;buerger;Fuhrmann;
wolf_fischer;Wolf Vischer;Bürgerbuch;1;1592;1592;0;;BB-2214;;buerger;;
wolf_foerster;Wolff Förster;Bürgerbuch;1;1568;1568;0;;BB-1271;;buerger;Lederer;
wolf_friess;Wolf Fried|Wolf Frieß;Bürgerbuch;2;1622;1622;0;;BB-2675|BB-2696;;buerger;Fasszieher;
