orte_id;orte;lat;lon;haeufigkeit;orte_unsicher;unsicherheit_anmerkung
reichersberg;Reichersberg;48,3355603;13,3609491;1;nein;
reinprechtspoella;Reinprechtspölla;48,6121589;15,7595858;1;nein;
retz;Retz;48,7569663;15,9511119;1;nein;
roggendorf_roeschitz;Roggendorf, Röschitz;48,67;15,8167;2;nein;
rohrendorf;Rohrendorf;48,4190155;15,6569002;3;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0184|StaAKr-0185).
rom_italien;Rom, Italien;41,9028;12,4964;8;nein;
rosenheim;Rosenheim;47,8557873;12,1272983;1;nein;
rossatz;Rossatz;48,3975203;15,5049162;1;nein;
rossatzbach;Rossatzbach;48,388567;15,5163565;1;nein;
roeschitz;Röschitz;48,6661866;15,8859882;1;nein;
sachsengang;Sachsengang;48,1741609;16,5853635;1;nein;
saladorf;Saladorf;48,276393;15,8694325;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0800).
salzburg;Salzburg;47,8095;13,055;9;nein;
sankt_poelten;Sankt Pölten;48,2043985;15,6229118;4;nein;
sarmingstein;Sarmingstein;48,2310638;14,9419026;2;nein;
schaunberg_eferding;Schaunberg, Eferding;48,3397;13,9789;2;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0355|StaAKr-0356).
scheibbs;Scheibbs;48,0053866;15,1674871;1;nein;
schiltern;Schiltern;48,5169282;15,6215655;1;nein;
schlickendorf_krems;Schlickendorf, Krems;48,4089;15,62;1;nein;
schollach;Schollach;48,1893136;15,3599339;1;nein;
schrattental;Schrattental;47,7754653;15,8507721;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0357).
schrattenthal;Schrattenthal;48,7167804;15,9089336;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0368).
