signatur;datum;datum_normiert;datum_unsicher;jahr;orte;orte_unsicher;regest;personen;personen_id;personen_unsicher;kategorien;unsicherheit_anmerkung;foto_ordner
StaAKr-0554;1497 X 21;1497_10_21;nein;1497;Krems;nein;1497 X 21 König Max I befiehlt, aus den lf. Einnahmen Lamprecht Spitzenstain 1000 fl. rhein. auf Getreide zu geben. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.|Lamprecht Spitzenstain;maximilian_i|lamprecht_spitzenstain;nein;Vermögen und Finanzen|Verwaltung|Wirtschaft;;StaAKr-0554
StaAKr-0555;1497 X 28;1497_10_28;nein;1497;Wien|Passau;nein;1497 X 28, Wien Der Hubmeister von Österreich Hans Harrasser zu Groß befiehlt, den Passauer Weinzehent in den Pfarrhof zu führen und Bericht zu geben. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Hans Harrasser;hans_harrasser;nein;Religion|Verwaltung|Wirtschaft;;StaAKr-0555
StaAKr-0556;1497 XII 1;1497_12_01;nein;1497;Persenbeug;nein;1497 XII 1 König Max I. befiehlt Jörgen Burckharten, Pfleger zu Persenbeug, 6 Mut Korn und 4 Mut Hafer aus den lf. Einnahmen zu geben. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.|Jörgen Burckharten;maximilian_i|joergen_burckharten;nein;Verwaltung|Wirtschaft;;StaAKr-0556
StaAKr-0557;1498 VIII 1;1498_08_01;nein;1498;Rom, Italien;nein;1498 VIII 1, Rom Freies Geleit für Lorenz Hanusch, Ritter von Purkstein von Papst Alexander VI. gegen Mathes Slyck. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Lorenz Hanusch|Alexander VI.|Mathes Slyck;lorenz_hanusch|alexander_vi|mathes_slyck;nein;Rechtswesen;;StaAKr-0557
StaAKr-0558;1499 I 21;1499_01_21;nein;1499;Statzendorf;nein;"1499 I 21 Veit Plesser verkauft den pers. Getreidezehent zu Statzendorf der ""priesterlichen Bruderschaft"" zu Krems. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Veit Plessner;veit_plessner;ja;Religion|Vermögen und Finanzen|Wirtschaft;"Personenidentifikation unsicher: vermutlich Veit Plessner (Regest nennt ""Veit"")";StaAKr-0558
StaAKr-0559;1499 III 2;1499_03_02;nein;1499;Sommerleiten, Mistelbach;ja;1499 III 2 Mathias Vorster, Diener der Grafen von Schaunburg verkauft mit Hilfe des Burgeherrn Laurenz, Kaplan am Karner in Stein seinen Weingarten (3 1/2 Joch an der Sommerleiten) Jobst Kirichlinger, Ratsbürger beider Städte. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Mathias Vorster|Kaplan Laurenz|Jobst Kirchlinger;mathias_vorster|kaplan_laurenz|jobst_kirchlinger;ja;Vermögen und Finanzen|Wirtschaft;"Ortsidentifikation unsicher: vermutlich Sommerleiten, Mistelbach (Regest nennt ""Sommerleiten"") | Personenidentifikation unsicher: vermutlich Jobst Kirchlinger (Regest nennt ""Jobst"")";StaAKr-0559
StaAKr-0560;1500 I 10;1500_01_10;nein;1500;Wien;nein;1500 I 10 König Max I. befiehlt dem Jobst Jungmeyer, Domherr und pess. Offizial in Wien, die Pfarre Krems einzuräumen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.|Jobst Jungmeyer;maximilian_i|jobst_jungmeyer;nein;Religion|Verwaltung;;StaAKr-0560
StaAKr-0561;1500 I 14;1500_01_14;nein;1500;Krems;nein;"1500 I 14 König Max I. erneuert Nr. 560 als ""Herr und Landesfürst"", da ihm die Vergebung der Pfarre gebührt. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Maximilian I.;maximilian_i;nein;Religion|Verwaltung;;StaAKr-0561
StaAKr-0561a;1500 II 1;1500_02_01;nein;1500;Wien;nein;1500 II 1 Barbara Ambrosi, Stein, richtet ein Schreiben an einen Bürger zu Wien. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Barbara Ambrosi;barbara_ambrosi;nein;Bevölkerung und Bevölkerungsgruppen;;StaAKr-0561a
StaAKr-0562;1500 V 18;1500_05_18;nein;1500;Wien|Venezia;nein;1500 V 18 König Max I. befiehlt anläßlich des Krieges mit Venedig Abgeordnete nach Wien zu senden. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.;maximilian_i;nein;Politik|Verwaltung;;StaAKr-0562
