id;Datum;Datum_unsicher;Name;personen_id;Beruf;Beruf_unsicher;Wirtschaftssektor;Buergen;buergen_id;Buergen_Berufe;Anmerkungen;Ort;orte_unsicher;Datum_Anmerkung;zuordnung_sicher;unsicherheit_anmerkung
BB-0720;1557-12-18;;Caspar Groset;kaspar_groset;Hauer;;Landwirtschaft & Weinbau;;;;;;;;ja;
BB-0721;1557-12-18;;Wastl Paur;sebastian_bauer;Fuhrmann;;Transport & Wasserwesen;;;;;;;;ja;
BB-0722;1557-12-18;;Caspar Geringer;kaspar_gerinnger;;;;;;;Erstmalig vorstellig am 22. Dezember 1555 und am 22. Dezember 1556.;;;;;"personen_id vereinheitlicht (vorher kaspar_geringer): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0621 (""Caspar Gerinnger"", Ähnlichkeit 0.968) - dieselbe Person."
BB-0723;1557-12-18;;Hanns Burger;hans_burger_bb1557;;;;;;;;;;;;
BB-0724;1557-12-18;;Hanns Harbacher;hans_harbacher;Fasszieher;;Holz, Bau & Stein;;;;;;;;ja;
BB-0725;1557-12-18;;Sigmunndt Pannzer;sigmund_pannzer;Lederer;;Leder & Pelz;;;;;;;;ja;
BB-0726;1557-12-18;;Ludwig Reisacher;ludwig_reisacher;Drechsler;;Holz, Bau & Stein;;;;;;;;ja;
BB-0727;1557-12-18;;Paul Otta;paul_otta;;;;;;;Erstmalig vorstellig am 26. März 1557 und am 14. Dezember 1557.;;;;;
BB-0728;1557-12-18;;Hanns Thamb;hans_thamb;Goldschmied;;Metall & Waffen;;;;Erstmalig vorstellig am 16. Juli 1557.;;;;ja;
BB-0729;1557-12-18;;Hanns Stachl;hans_stachl;Schneider;;Textil & Bekleidung;;;;Erstmalig vorstellig am 7. Dezember 1557.;;;;ja;
BB-0730;1557-12-18;;Geörg Regauer;georg_regauer;;;;;;;Erstmalig vorstellig am 7. Dezember 1557.;;;;;
BB-0731;1557-12-18;;Hanns Puerckhl;hans_puerckl_2;;;;;;;Erstmalig vorstellig am 5. März 1557.;;;;;"personen_id vereinheitlicht (vorher hans_puerckl): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0697 (""Hanns Pürckhl"", Ähnlichkeit 0.963) - dieselbe Person."
BB-0732;1557-12-18;;Geörg Geyr;georg_geyr;;;;;;;Erstmalig vorstellig am 5. April 1557.;;;;;
BB-0733;1557-12-18;;Augustin Raidl;augustin_raidl;Tischler;;Holz, Bau & Stein;;;;;;;;ja;
BB-0734;1557-12-18;;Leonhart Sintenpeckh;leonhard_sintenpeck;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0735;1557-12-18;;Florian Widner;florian_widner;Seiler;;Transport & Wasserwesen;;;;;;;;ja;
BB-0736;1557-12-18;;Leonhart Khampl;leonhard_kampl;Uhrmacher;;Metall & Waffen;;;;;;;;ja;
BB-0737;1557-12-18;;Hanns Wagner;hans_wagner;Hauer;;Landwirtschaft & Weinbau;;;;;;;;ja;
BB-0738;1557-12-18;;Peter Meiringer;peter_meiringer;Büchsenschäfter;;Metall & Waffen;;;;;;;;ja;
BB-0739;1557-12-18;;Joseph Khrumpalz;joseph_krumpalz;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0740;1557-12-18;;Leonhart Hardegger;leonhard_hardegger;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0741;1557-12-18;;Adam Händl;adam_haendl;;;;;;;;;;;;
BB-0742;1557-12-18;;Paull Otta;paul_otta;;;;;;;;;;;;
BB-0743;1558-01-21;;Wölfl Edmair;woelfl_edmair;;;;;;;;;;;;
BB-0744;1558-03-11;;Hanns Härpl;hans_haerpl;Bäcker;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0745;1558-03-11;;Leonharten Eder;leonharten_eder;Bäckerknecht;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0746;1558-03-28;;Utz Forsster;utz_forsster;Seiler, Schiffmann;;Transport & Wasserwesen;Michael Khegl, Hanns Drescher.;michael_kegl|hans_drescher;;;;;;ja;
BB-0747;1558-05-20;;Geörg Khaller;georg_kaller;Fischer;;Lebensmittelhandwerk;Prannthueber.;prannthueber;;;;;;ja;
BB-0748;1558-06-03;;Thobias Schwarzenperger;tobias_schwarzenperger;;;;Wolfganng Schaisdorffer (Schmied) (Bürger zu Stein).;wolfgang_schaisdorffer;Schmied;;;;;;
BB-0749;1558-06-17;;Michael Pruggmair;michael_pruggmair;Kupferschmied;;Metall & Waffen;Hanns Gmundtner (Bürger zu Krems), Wolfganng Khaupl (Schmied) (Bürger zu Krems).;hans_gmundtner|wolfgang_kaupl;|Schmied;;;;;ja;
BB-0750;1558-06-17;;Hanns Pranntlsperger;hans_pranntlsperger;Müller;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0751;1558-08-02;;Cristoffen Pöringer;christoph_poeringer;;;;;;;;;;;;
BB-0752;1558-08-12;;Cristoff Bernkhast;christoph_bernkhast;Goldschmied;;Metall & Waffen;Hanns Rath, Caspar Geringer.;hans_rath|kaspar_gerinnger;;;;;;ja;
